--------------------------------------------------------------------------------
		marvellous infosystems process log

		log file is created at: Fri Jun 20 17:00:58 2025
--------------------------------------------------------------------------------{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'} 
{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'name': 'System'} 
{'username': None, 'pid': 188, 'name': ''} 
{'username': None, 'pid': 232, 'name': 'Registry'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 544, 'name': 'svchost.exe'} 
{'username': None, 'pid': 688, 'name': 'smss.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 964, 'name': 'chrome.exe'} 
{'username': None, 'pid': 1032, 'name': 'csrss.exe'} 
{'username': None, 'pid': 1120, 'name': 'wininit.exe'} 
{'username': None, 'pid': 1256, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1272, 'name': 'services.exe'} 
{'username': None, 'pid': 1292, 'name': 'LsaIso.exe'} 
{'username': None, 'pid': 1300, 'name': 'lsass.exe'} 
{'username': None, 'pid': 1364, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 1400, 'name': 'Code.exe'} 
{'username': None, 'pid': 1432, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1452, 'name': 'WUDFHost.exe'} 
{'username': None, 'pid': 1492, 'name': 'fontdrvhost.exe'} 
{'username': None, 'pid': 1612, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1668, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1696, 'name': 'WUDFHost.exe'} 
{'username': None, 'pid': 1832, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1844, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1876, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1884, 'name': 'svchost.exe'} 
{'username': None, 'pid': 1904, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2044, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2064, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2072, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2080, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2168, 'name': 'WUDFHost.exe'} 
{'username': None, 'pid': 2228, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2344, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2352, 'name': 'IntelCpHDCPSvc.exe'} 
{'username': None, 'pid': 2360, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2392, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2440, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2448, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2476, 'name': 'svchost.exe'} 
{'username': None, 'pid': 2804, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 2868, 'name': 'chrome.exe'} 
{'username': None, 'pid': 2996, 'name': 'WUDFHost.exe'} 
{'username': None, 'pid': 3116, 'name': 'Dell.TechHub.Diagnostics.SubAgent.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 3124, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3148, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3188, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3224, 'name': 'Dell.TechHub.DataManager.SubAgent.exe'} 
{'username': None, 'pid': 3268, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3304, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 3336, 'name': 'ApplicationFrameHost.exe'} 
{'username': None, 'pid': 3396, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3416, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3432, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3512, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3520, 'name': 'svchost.exe'} 
{'username': None, 'pid': 3528, 'name': 'svchost.exe'} 
